	learn:mm.csv check mm.csv:53:你不喜欢我？那请你好好反省一下！     	 Result: 	0.20272243827248917 	462 	211



  	class: 请求  	d: 13  	pt: 0.4444444444444444  	diff:  请AB0.2222222222222222 求A0.09259259259259259 呼吁A0.1111111111111111 伸手A0.018518518518518517
  	class: 引起  	d: 9  	pt: 0.42857142857142855  	diff:  逗AB0.0714285714285714 唤起A0.14285714285714285 惹AB0.2142857142857143
  	class: 动火  	d: 24  	pt: 0.41176470588235303  	diff:  生气AB0.20588235294117652 火A0.14705882352941177 上火A0.029411764705882353 发脾气A0.029411764705882353
  	class: 美女  	d: 20  	pt: 0.39999999999999997  	diff:  美女AB0.19999999999999996 淑女A0.2
  	class: 保持  	d: 8  	pt: 0.39999999999999997  	diff:  维系AB0.19999999999999996 保障A0.2
  	class: 都  	d: 16  	pt: 0.38095238095238093  	diff:  全AB0.19047619047619047 统统A0.14285714285714285 咸A0.047619047619047616
  	class: 胜于  	d: 13  	pt: 0.36923076923076925  	diff:  强A0.18461538461538463 高AB0.18461538461538463
  	class: 脆弱  	d: 10  	pt: 0.3636363636363636  	diff:  软A0.18181818181818182 脆弱AB0.18181818181818177
  	class: 性格  	d: 12  	pt: 0.33333333333333337  	diff:  性格AB0.16666666666666669 人性AB0.033333333333333326 性A0.13333333333333333
  	class: 正常  	d: 8  	pt: 0.3333333333333333  	diff:  常规AB0.16666666666666669 健康AB0.16666666666666663
  	class: 稍微  	d: 24  	pt: 0.33333333333333326  	diff:  略带A0.16666666666666666 微AB0.16666666666666663
  	class: 思想意识  	d: 5  	pt: 0.33333333333333326  	diff:  观念A0.16666666666666666 价值观AB0.16666666666666663
  	class: 呈现  	d: 7  	pt: 0.33333333333333326  	diff:  表现AB0.16666666666666663 展现A0.1111111111111111 呈现A0.05555555555555555
  	class: 可憎  	d: 12  	pt: 0.28571428571428575  	diff:  丑AB0.1428571428571429 该死A0.09523809523809523 烦人A0.047619047619047616
  	class: 实质  	d: 10  	pt: 0.28571428571428575  	diff:  本质AB0.1428571428571429 面目A0.14285714285714285
  	class: 时刻  	d: 10  	pt: 0.28571428571428575  	diff:  时刻AB0.1428571428571429 时时A0.14285714285714285
  	class: 陪伴  	d: 7  	pt: 0.27777777777777773  	diff:  陪AB0.13888888888888884 陪伴A0.1388888888888889
  	class: 检讨  	d: 3  	pt: 0.25  	diff:  反省AB0.125 检讨A0.125
  	class: 冷却  	d: 5  	pt: 0.25  	diff:  冷AB0.125 凉A0.125
  	class: 听见  	d: 4  	pt: 0.24999999999999997  	diff:  听到AB0.125 听见A0.08333333333333333 聪A0.041666666666666664
  	class: 粉刷  	d: 6  	pt: 0.22222222222222227  	diff:  刷AB0.11111111111111116 粉A0.1111111111111111
  	class: 开玩笑  	d: 11  	pt: 0.20833333333333331  	diff:  开心AB0.10416666666666663 开玩笑A0.10416666666666667
  	class: 解决  	d: 9  	pt: 0.19999999999999998  	diff:  解决AB0.09999999999999998 缓解A0.1
  	class: 感到  	d: 7  	pt: 0.19512195121951217  	diff:  感觉AB0.09756097560975607 感到A0.07317073170731707 深感A0.024390243902439025
  	class: 帮助  	d: 37  	pt: 0.18831168831168837  	diff:  帮AB0.02922077922077926 帮忙AB0.09415584415584416 协助A0.025974025974025976 扶A0.025974025974025976 支援A0.012987012987012988
  	class: 面子  	d: 5  	pt: 0.17777777777777778  	diff:  脸AB0.0888888888888889 颜A0.06666666666666667 面子A0.022222222222222223
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 觉察  	d: 6  	pt: 0.1720430107526882  	diff:  发现AB0.08602150537634412 意识A0.06451612903225806 察觉A0.021505376344086023
  	class: 战败  	d: 18  	pt: 0.15999999999999998  	diff:  打败A0.04 输给A0.04 输AB0.07999999999999996
  	class: 分开  	d: 13  	pt: 0.14285714285714282  	diff:  分AB0.0714285714285714 细分A0.07142857142857142
  	class: 情人  	d: 10  	pt: 0.13846153846153844  	diff:  朋友AB0.0692307692307692 恋人A0.015384615384615385 情侣A0.046153846153846156 爱人A0.007692307692307693
  	class: 花费  	d: 5  	pt: 0.10714285714285716  	diff:  花AB0.0535714285714286 费A0.017857142857142856 花费A0.03571428571428571
  	class: 高等学校  	d: 3  	pt: 0.09523809523809529  	diff:  高校A0.047619047619047616 大学AB0.04761904761904767
  	class: 热情  	d: 15  	pt: 0.09523809523809529  	diff:  热情AB0.04761904761904767 热心AB0.047619047619047616
  	class: 男  	d: 3  	pt: 0.09090909090909087  	diff:  男AB0.045454545454545414 男性A0.045454545454545456
  	class: 胖  	d: 18  	pt: 0.0869565217391304  	diff:  胖AB0.04347826086956519 肥胖A0.043478260869565216
  	class: 洗雪  	d: 7  	pt: 0.08333333333333331  	diff:  洗AB0.04166666666666663 雪AB0.041666666666666685
  	class: 垮台  	d: 13  	pt: 0.08333333333333329  	diff:  崩溃AB0.04166666666666663 完蛋A0.041666666666666664
  	class: 逼近  	d: 8  	pt: 0.08163265306122452  	diff:  逼AB0.04081632653061229 薄A0.04081632653061224
  	class: 原因  	d: 12  	pt: 0.06666666666666665  	diff:  原因AB0.033333333333333326 缘故A0.03333333333333333
  	class: 买  	d: 19  	pt: 0.06106870229007638  	diff:  买AB0.03053435114503822 购买A0.015267175572519083 购A0.007633587786259542 采购A0.007633587786259542
  	class: 笑  	d: 4  	pt: 0.05882352941176471  	diff:  笑AB0.02941176470588236 乐A0.029411764705882353
  	class: 易于  	d: 6  	pt: 0.04800000000000002  	diff:  爱AB0.02400000000000002 轻A0.024
  	class: 子女  	d: 7  	pt: 0.03952569169960474  	diff:  孩子AB0.01976284584980237 儿女A0.003952569169960474 子女A0.007905138339920948 男女A0.007905138339920948
  	class: 话  	d: 6  	pt: 0.03333333333333338  	diff:  话AB0.01666666666666672 话语A0.016666666666666666
  	class: 问  	d: 10  	pt: 0.031007751937984523  	diff:  问AB0.015503875968992276 提问A0.015503875968992248
  	class: 商店  	d: 24  	pt: 0.024999999999999956  	diff:  公司AB0.012499999999999956 企业A0.0125
  	class: 母  	d: 10  	pt: 0.014598540145985392  	diff:  妈AB0.007299270072992692 母亲A0.0072992700729927005
  	class: 怀念  	d: 21  	pt: 0.010101010101010135  	diff:  想AB0.005050505050505083 纪念A0.0025252525252525255 想念A0.0025252525252525255
