	learn:mm.csv check jqzx.csv:209:深度 | 让机器思考与互相理解：DeepMind提出机器心智理论神经网络ToMnet     	 Result: 	0.37275758319850166 	393 	158



  	class: 假装  	d: 12  	pt: 1.1818181818181817  	diff:  装A0.5454545454545454 装作A0.045454545454545456 假装AB0.5909090909090908
  	class: 依靠  	d: 32  	pt: 1.1428571428571428  	diff:  负A0.14285714285714285 指AB0.5714285714285714 赖A0.42857142857142855
  	class: 顶用  	d: 19  	pt: 1.1428571428571428  	diff:  有用AB0.5714285714285714 实用A0.42857142857142855 可行A0.14285714285714285
  	class: 希望  	d: 23  	pt: 1.1393939393939394  	diff:  梦想A0.21212121212121213 希望AB0.17575757575757578 期待A0.06060606060606061 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望AB0.5696969696969697 指望A0.015151515151515152
  	class: 意味  	d: 9  	pt: 1.1304347826086958  	diff:  味道A0.4782608695652174 代表AB0.4492753623188406 象征A0.08695652173913043 意味着AB0.11594202898550723
  	class: 遭受  	d: 20  	pt: 1.0  	diff:  遭A0.5 面临AB0.5
  	class: 叫做  	d: 18  	pt: 1.0  	diff:  称呼A0.2 称为AB0.09999999999999998 名A0.2 称之为B0.5
  	class: 区分  	d: 7  	pt: 1.0  	diff:  区别AB0.5 区分AB0.16666666666666666 有别于B0.3333333333333333
  	class: 计划  	d: 14  	pt: 1.0  	diff:  计划AB0.5 规划B0.5
  	class: 快  	d: 27  	pt: 1.0  	diff:  高效AB0.5 飞快A0.5
  	class: 概率  	d: 4  	pt: 1.0  	diff:  几率A0.5 概率AB0.5
  	class: 建立  	d: 7  	pt: 1.0  	diff:  建立AB0.5 成立A0.5
  	class: 增强  	d: 9  	pt: 1.0  	diff:  提高AB0.5 增高A0.5
  	class: 有  	d: 28  	pt: 0.9774436090225563  	diff:  富有A0.05263157894736842 拥有AB0.4360902255639098 具备AB0.20300751879699247 持有B0.2857142857142857
  	class: 标准  	d: 12  	pt: 0.9230769230769231  	diff:  条件AB0.46153846153846156 原则A0.46153846153846156
  	class: 趋势  	d: 13  	pt: 0.8571428571428572  	diff:  趋势A0.2857142857142857 方向AB0.4285714285714286 动向A0.14285714285714285
  	class: 制造  	d: 6  	pt: 0.8  	diff:  制造AB0.4 打造A0.4
  	class: 资本  	d: 12  	pt: 0.75  	diff:  资本A0.25 成本AB0.375 基金A0.125
