	learn:mm.csv check mm.csv:71:五音不全的人，如何坚强地活在这个世上     	 Result: 	0.1975129033512337 	448 	199



  	class: 方法  	d: 11  	pt: 0.6428571428571428  	diff:  方法AB0.0357142857142857 办法AB0.2857142857142857 方式A0.2857142857142857 艺术A0.03571428571428571
  	class: 回忆  	d: 19  	pt: 0.6363636363636365  	diff:  回忆A0.22727272727272727 想起AB0.31818181818181823 回想A0.09090909090909091
  	class: 游戏  	d: 24  	pt: 0.5757575757575757  	diff:  玩AB0.2575757575757576 戏AB0.1515151515151515 游戏AB0.13636363636363635 玩玩A0.015151515151515152 玩耍A0.015151515151515152
  	class: 庸俗  	d: 17  	pt: 0.5714285714285714  	diff:  无聊AB0.2857142857142857 世俗A0.14285714285714285 庸俗A0.14285714285714285
  	class: 煮  	d: 9  	pt: 0.5714285714285714  	diff:  煮AB0.2857142857142857 闷A0.14285714285714285 焖A0.14285714285714285
  	class: 热情  	d: 15  	pt: 0.5714285714285714  	diff:  热情AB0.2857142857142857 热心A0.2857142857142857
  	class: 尝试  	d: 9  	pt: 0.5454545454545454  	diff:  试试看A0.18181818181818182 试AB0.2727272727272727 搞搞A0.09090909090909091
  	class: 尴尬  	d: 18  	pt: 0.5416666666666667  	diff:  两难A0.0625 尴尬AB0.08333333333333337 为难A0.125 窘迫AB0.2708333333333333
  	class: 完整  	d: 10  	pt: 0.5  	diff:  完整AB0.25 共同体A0.25
  	class: 轰  	d: 6  	pt: 0.5  	diff:  咆哮A0.25 吼AB0.25
  	class: 显示  	d: 12  	pt: 0.45  	diff:  展示A0.1 显示A0.075 显得AB0.22499999999999998 亮A0.025 来得A0.025
  	class: 心情  	d: 8  	pt: 0.4361702127659574  	diff:  心态A0.19148936170212766 情绪AB0.005319148936170193 心情AB0.21808510638297873 情怀A0.02127659574468085
  	class: 裤子  	d: 4  	pt: 0.42857142857142855  	diff:  裤子AB0.2142857142857143 下身A0.07142857142857142 裤A0.14285714285714285
  	class: 发作  	d: 4  	pt: 0.41791044776119407  	diff:  发AB0.20895522388059706 作A0.13432835820895522 犯A0.07462686567164178
  	class: 动火  	d: 24  	pt: 0.41176470588235303  	diff:  生气AB0.20588235294117652 火A0.14705882352941177 上火A0.029411764705882353 发脾气A0.029411764705882353
  	class: 睡觉  	d: 8  	pt: 0.409090909090909  	diff:  睡AB0.15909090909090906 睡觉AB0.20454545454545453 上床A0.022727272727272728 睡眠A0.022727272727272728
  	class: 演员  	d: 9  	pt: 0.39999999999999997  	diff:  演员AB0.19999999999999996 扮演者A0.2
  	class: 坚强  	d: 30  	pt: 0.39999999999999997  	diff:  硬A0.2 坚强AB0.19999999999999996
  	class: 成为  	d: 8  	pt: 0.39999999999999997  	diff:  成AB0.19999999999999996 化A0.2
  	class: 拒绝  	d: 11  	pt: 0.38095238095238093  	diff:  拒绝AB0.19047619047619047 不肯A0.19047619047619047
  	class: 胜于  	d: 13  	pt: 0.36923076923076925  	diff:  强A0.18461538461538463 高AB0.18461538461538463
  	class: 女朋友  	d: 2  	pt: 0.3265306122448979  	diff:  女朋友AB0.16326530612244894 女友A0.16326530612244897
  	class: 决意  	d: 15  	pt: 0.32258064516129026  	diff:  厉害AB0.16129032258064513 决心A0.12903225806451613 了得A0.03225806451612903
  	class: 做  	d: 9  	pt: 0.3125  	diff:  搞AB0.15625 打出A0.03125 弄A0.125
  	class: 同感  	d: 2  	pt: 0.28571428571428575  	diff:  共鸣AB0.1428571428571429 同感A0.14285714285714285
  	class: 劝告  	d: 19  	pt: 0.28571428571428575  	diff:  劝AB0.1428571428571429 劝说A0.07142857142857142 告诫A0.07142857142857142
  	class: 冷却  	d: 5  	pt: 0.25  	diff:  冷AB0.125 凉A0.125
  	class: 开玩笑  	d: 11  	pt: 0.20833333333333331  	diff:  开心AB0.10416666666666663 开玩笑A0.10416666666666667
  	class: 感到  	d: 7  	pt: 0.19512195121951217  	diff:  感觉AB0.09756097560975607 感到A0.07317073170731707 深感A0.024390243902439025
  	class: 开始  	d: 24  	pt: 0.19298245614035087  	diff:  开AB0.07017543859649122 开头AB0.09649122807017543 初始A0.02631578947368421
  	class: 帮助  	d: 37  	pt: 0.18831168831168837  	diff:  帮AB0.02922077922077926 帮忙AB0.09415584415584416 协助A0.025974025974025976 扶A0.025974025974025976 支援A0.012987012987012988
  	class: 繁忙  	d: 26  	pt: 0.18181818181818188  	diff:  忙AB0.09090909090909094 日理万机A0.045454545454545456 忙碌A0.045454545454545456
  	class: 团聚  	d: 15  	pt: 0.18181818181818185  	diff:  聚会AB0.09090909090909094 团圆A0.09090909090909091
  	class: 成功  	d: 16  	pt: 0.17391304347826092  	diff:  成功AB0.08695652173913049 成事A0.043478260869565216 得逞A0.043478260869565216
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 觉察  	d: 6  	pt: 0.1720430107526882  	diff:  发现AB0.08602150537634412 意识A0.06451612903225806 察觉A0.021505376344086023
  	class: 告诉  	d: 7  	pt: 0.16393442622950816  	diff:  告诉AB0.08196721311475408 报告A0.08196721311475409
