	learn:mm.csv check mm.csv:63:有话好好说，bú yào say English     	 Result: 	0.23842154148813804 	398 	183



  	class: 开始  	d: 24  	pt: 0.5263157894736842  	diff:  开AB0.23684210526315785 开头AB0.26315789473684215 初始A0.02631578947368421
  	class: 感到  	d: 7  	pt: 0.5203252032520326  	diff:  感觉AB0.2357723577235773 感到AB0.26016260162601623 深感A0.024390243902439025
  	class: 结果  	d: 8  	pt: 0.5  	diff:  后果AB0.25 结局A0.25
  	class: 尴尬  	d: 18  	pt: 0.5  	diff:  两难A0.0625 尴尬AB0.25 为难A0.125 窘迫A0.0625
  	class: 轰  	d: 6  	pt: 0.5  	diff:  咆哮A0.25 吼AB0.25
  	class: 倾  	d: 6  	pt: 0.4444444444444444  	diff:  歪AB0.2222222222222222 倾斜A0.1111111111111111 侧A0.1111111111111111
  	class: 帮助  	d: 37  	pt: 0.44155844155844154  	diff:  帮AB0.22077922077922074 帮忙A0.15584415584415584 协助A0.025974025974025976 扶A0.025974025974025976 支援A0.012987012987012988
  	class: 动火  	d: 24  	pt: 0.41176470588235303  	diff:  生气AB0.20588235294117652 火A0.14705882352941177 上火A0.029411764705882353 发脾气A0.029411764705882353
  	class: 作家  	d: 10  	pt: 0.39999999999999997  	diff:  文豪A0.2 作家AB0.19999999999999996
  	class: 成为  	d: 8  	pt: 0.39999999999999997  	diff:  成AB0.19999999999999996 化A0.2
  	class: 猜想  	d: 8  	pt: 0.39999999999999997  	diff:  猜想A0.2 猜AB0.19999999999999996
  	class: 表露  	d: 4  	pt: 0.39999999999999997  	diff:  说出AB0.19999999999999996 透露A0.2
  	class: 实行  	d: 11  	pt: 0.33333333333333326  	diff:  行AB0.16666666666666663 执行A0.16666666666666666
  	class: 范围  	d: 6  	pt: 0.33333333333333326  	diff:  局面A0.16666666666666666 圈圈AB0.16666666666666663
  	class: 耻笑  	d: 10  	pt: 0.33333333333333326  	diff:  嘲笑AB0.16666666666666663 笑话A0.16666666666666666
  	class: 决意  	d: 15  	pt: 0.32258064516129026  	diff:  厉害AB0.16129032258064513 决心A0.12903225806451613 了得A0.03225806451612903
  	class: 悲惨  	d: 13  	pt: 0.3076923076923077  	diff:  惨AB0.15384615384615385 无助A0.15384615384615385
  	class: 答  	d: 14  	pt: 0.2666666666666666  	diff:  回答AB0.1333333333333333 答对A0.03333333333333333 回应A0.06666666666666667 应对A0.03333333333333333
  	class: 聪明  	d: 25  	pt: 0.25  	diff:  灵气A0.125 聪明AB0.125
  	class: 吸  	d: 6  	pt: 0.25  	diff:  抽烟AB0.125 吸A0.125
  	class: 简单  	d: 21  	pt: 0.23529411764705888  	diff:  简单AB0.11764705882352944 简单易行A0.029411764705882353 简A0.08823529411764706
  	class: 开玩笑  	d: 11  	pt: 0.20833333333333331  	diff:  开心AB0.10416666666666663 开玩笑A0.10416666666666667
  	class: 团聚  	d: 15  	pt: 0.18181818181818185  	diff:  聚会AB0.09090909090909094 团圆A0.09090909090909091
  	class: 寻找  	d: 23  	pt: 0.17307692307692313  	diff:  找AB0.08653846153846156 摸A0.038461538461538464 搜索A0.019230769230769232 寻找A0.028846153846153848
  	class: 觉察  	d: 6  	pt: 0.1720430107526882  	diff:  发现AB0.08602150537634412 意识A0.06451612903225806 察觉A0.021505376344086023
