	learn:mm.csv check mm.csv:74:你上班5天了，我还在北海道看雪雪雪雪雪     	 Result: 	0.19288847236224038 	461 	219



  	class: 傻子  	d: 8  	pt: 0.6666666666666667  	diff:  傻子AB0.33333333333333337 傻瓜A0.3333333333333333
  	class: 饭店  	d: 10  	pt: 0.6666666666666667  	diff:  食堂A0.3333333333333333 餐馆AB0.33333333333333337
  	class: 正常  	d: 8  	pt: 0.6666666666666667  	diff:  常规A0.3333333333333333 健康AB0.33333333333333337
  	class: 作战  	d: 8  	pt: 0.6666666666666667  	diff:  上阵A0.3333333333333333 打仗AB0.33333333333333337
  	class: 摄影  	d: 9  	pt: 0.6666666666666667  	diff:  拍照AB0.33333333333333337 摄影A0.24242424242424243 拍摄A0.09090909090909091
  	class: 唤醒  	d: 6  	pt: 0.6666666666666667  	diff:  提醒AB0.33333333333333337 提示A0.3333333333333333
  	class: 搭腔  	d: 5  	pt: 0.6666666666666667  	diff:  搭理A0.3333333333333333 搭讪AB0.33333333333333337
  	class: 关怀  	d: 10  	pt: 0.6666666666666666  	diff:  关注AB0.33333333333333337 关心A0.23333333333333334 关爱A0.03333333333333333 体贴A0.06666666666666667
  	class: 返回  	d: 7  	pt: 0.6666666666666666  	diff:  回来AB0.1111111111111111 回去AB0.015873015873015872 回到A0.2222222222222222 返回AB0.31746031746031744
  	class: 损坏  	d: 10  	pt: 0.6153846153846154  	diff:  摔AB0.3076923076923077 破坏A0.15384615384615385 毁掉A0.07692307692307693 损坏A0.07692307692307693
  	class: 超越  	d: 9  	pt: 0.6046511627906977  	diff:  超AB0.12209302325581395 跳A0.20930232558139536 超越AB0.18023255813953487 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 痛  	d: 8  	pt: 0.5714285714285714  	diff:  痛A0.2857142857142857 疼AB0.2857142857142857
  	class: 爱  	d: 13  	pt: 0.5714285714285714  	diff:  热爱AB0.2857142857142857 心爱A0.2857142857142857
  	class: 忘记  	d: 12  	pt: 0.5555555555555556  	diff:  忘AB0.2777777777777778 忘记A0.2777777777777778
  	class: 开始  	d: 24  	pt: 0.5263157894736842  	diff:  开AB0.26315789473684215 开头A0.23684210526315788 初始A0.02631578947368421
  	class: 停止  	d: 26  	pt: 0.5  	diff:  住AB0.25 停A0.15 停止A0.1
  	class: 尴尬  	d: 18  	pt: 0.5  	diff:  两难A0.0625 尴尬AB0.25 为难A0.125 窘迫A0.0625
  	class: 谨慎  	d: 15  	pt: 0.5  	diff:  审慎A0.25 严谨AB0.25
  	class: 对象  	d: 4  	pt: 0.4705882352941177  	diff:  对象A0.17647058823529413 靶子A0.058823529411764705 目标AB0.23529411764705888
  	class: 能力  	d: 3  	pt: 0.4615384615384615  	diff:  力A0.2 能力AB0.23076923076923073 力量A0.03076923076923077
  	class: 舒畅  	d: 26  	pt: 0.4615384615384615  	diff:  舒服AB0.23076923076923073 清爽A0.23076923076923078
  	class: 后悔  	d: 12  	pt: 0.4444444444444444  	diff:  后悔AB0.2222222222222222 忏悔A0.1111111111111111 悔恨A0.1111111111111111
  	class: 帮助  	d: 37  	pt: 0.44155844155844154  	diff:  帮AB0.22077922077922074 帮忙A0.15584415584415584 协助A0.025974025974025976 扶A0.025974025974025976 支援A0.012987012987012988
  	class: 发作  	d: 4  	pt: 0.41791044776119407  	diff:  发AB0.20895522388059706 作A0.13432835820895522 犯A0.07462686567164178
  	class: 零碎  	d: 12  	pt: 0.39999999999999997  	diff:  碎AB0.19999999999999996 碎片A0.2
  	class: 浴室  	d: 5  	pt: 0.39999999999999997  	diff:  浴室A0.2 浴池AB0.19999999999999996
  	class: 都  	d: 16  	pt: 0.38095238095238093  	diff:  全AB0.19047619047619047 统统A0.14285714285714285 咸A0.047619047619047616
  	class: 胜于  	d: 13  	pt: 0.36923076923076925  	diff:  强A0.18461538461538463 高AB0.18461538461538463
  	class: 符合  	d: 13  	pt: 0.36363636363636365  	diff:  适合AB0.18181818181818177 符合A0.09090909090909091 入A0.09090909090909091
  	class: 旅馆  	d: 12  	pt: 0.33333333333333337  	diff:  店AB0.08333333333333337 宾馆AB0.08333333333333334 公寓A0.16666666666666666
  	class: 曲牌  	d: 5  	pt: 0.33333333333333326  	diff:  牌子AB0.16666666666666663 牌A0.16666666666666666
  	class: 范围  	d: 6  	pt: 0.33333333333333326  	diff:  局面A0.16666666666666666 圈圈AB0.16666666666666663
  	class: 取暖  	d: 4  	pt: 0.33333333333333326  	diff:  暖AB0.16666666666666663 暖和A0.16666666666666666
  	class: 决意  	d: 15  	pt: 0.32258064516129026  	diff:  厉害AB0.16129032258064513 决心A0.12903225806451613 了得A0.03225806451612903
  	class: 悲惨  	d: 13  	pt: 0.3076923076923077  	diff:  惨AB0.15384615384615385 无助A0.15384615384615385
